TIME TABLE FOR Fall 2019 SEMESTER [CS Department] <V1.3>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,Probability & Statistics (CS-C),,,,,,,,,,,,Comp. Org. & Assembly Lang. (CS-B),,,,,,,,,Comp. Org. & Assembly Lang. (CS-A),,,,,,,,,Operating Systems (CS-A),,,,,,,,,Psychology (CS),,,,,,,,,Computer Networks (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,,Discrete Structures (CS-E) ,,,,,,,,,Software Engineering (CS-A),,,,,,,,,Linear Algebra (CS-F),,,,,,,,,Web Programming (CS-B),,,,,,,,,Modern Politics & Government (CS),,,,,,,,,Probability & Statistics (CS-G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,,Digital Logic Design (CS-A) ,,,,,,,,,Human Computer Interaction (CS-E),,,,,,,,,Programming Fundamentals (CS-J),,,,,,,,,International Relations (CS),,,,,,,,,Sociology (CS),,,,,,,,,Probability & Statistics (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,,Comp. Org. & Assembly Lang. (CS-D),,,,,,,,,Comp. Org. & Assembly Lang. (CS-E),,,,,,,,,Programming Fundamentals (CS-C),,,,,,,,,Applied Physics  (CS-K),,,,,,,,,Programming Fundamentals (CS-D),,,,,,,,,Applied Physics  (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,Professional Issues in IT (CS-C),,,,,,,,,Software for Mobile Devices (CS-B),,,,,,,,,Professional Issues in IT (CS-A),,,,,,,,,,,,,,,,,,Marketing Management  (CS-A) ,,,,,,,,,Organizational Behavior (CS),,,,,,,,,Marketing Management  (CS-B) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,,Mass Communication (CS),,,,,,,,,Human Computer Interaction (CS-A),,,,,,,,,Human Computer Interaction (CS-B),,,,,,,,,,,,,,,,,,Programming Fundamentals (CS-I),,,,,,,,,Calculus and Ana. Geometry (CS-I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,,Islamic & Religious Studies (CS-D),,,,,,,,,Human Computer Interaction (CS-C),,,,,,,,,Human Computer Interaction (CS-D),,,,,,,,,,,,,,,,,,Applied Physics  (CS-G),,,,,,,,,Applied Physics  (CS-C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,Calculus and Ana. Geometry (CS-E),,,,,,,,,Software Engineering (CS-C),,,,,,,,,Software Engineering (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,Islamic & Religious Studies (CS-G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,,,,,,,,,,,Data Mining (MS),,,,,,,,,Software Engineering (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,Discrete Structures (CS-A) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,Calculus and Ana. Geometry (CS-H),,,,,,,,,Programming Fundamentals (CS-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discrete Structures (CS-G) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,Discrete Structures (CS-B) ,,,,,,,,,Discrete Structures (CS-C) ,,,,,,,,,Applied Physics  (CS-I),,,,,,,,,,,,,,,,,,Applied Physics  (CS-E),,,,,,,,,Applied Physics  (CS-J),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,,,,,Calculus and Ana. Geometry (CS-K),,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-E1),,,,,,,,,,,,,,,,,,Entrepreneurship (CS-B),,,,,,,,,Discrete Structures (CS-H) ,,,,,,,,,Entrepreneurship (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,,Calculus and Ana. Geometry (CS-A),,,,,,,,,Islamic & Religious Studies (CS-A),,,,,,,,,English Composition and Comprehension (CS-E2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,Islamic & Religious Studies (CS-F),,,,,,,,,Islamic & Religious Studies (CS-C),,,,,,,,,English Composition and Comprehension (CS-G1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,,Applied Physics  (CS-B),,,,,,,,,Applied Physics  (CS-F),,,,,,,,,English Composition and Comprehension (CS-G2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-K1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-K2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied Physics  (CS-L),,,,,,,,,Applied Physics  (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,,,,,English Comp and Comp Lab (CS-C1),,,,,,,,,English Comp and Comp Lab (CS-D1),,,,,,,,,English Comp and Comp Lab (CS-H1),,,,,,,,,English Comp and Comp Lab (CS-I1),,,,,,,,,English Comp and Comp Lab (CS-J1),,,,,,,,,English Comp and Comp Lab (CS-L1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,,,,,English Comp and Comp Lab (CS-C2),,,,,,,,,English Comp and Comp Lab (CS-D2),,,,,,,,,English Comp and Comp Lab (CS-H2),,,,,,,,,English Comp and Comp Lab (CS-I2),,,,,,,,,English Comp and Comp Lab (CS-J2),,,,,,,,,English Comp and Comp Lab (CS-L2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,,,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-L),,,,,,,,,,,,,,,,,,,,,,,,,,,"Database Systems Lab (CS-B1, CS-B2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,,"Object Oriented Analysis & Design Lab (CS-F1, CS-F2)",,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,,,,,,,,,,,,,,,,,,,"Comp. Org. & Assembly Lang.  Lab (CS-B1, CS-B2)",,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,,,,,,,,,,,,,,,,,,,"Comp. Org. & Assembly Lang.  Lab (CS-C1, CS-C2)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Computer Networks Lab (CS-B1, CS-B2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),,,,,,,,,,,,,,,,,,,,,,,"Data Structures  Lab (CS-D1, CS-D2)",,,,,,,,,,,,,,,,,,"Object Oriented Programming Lab (CS-C1, CS-C2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-B2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,CS-1,,,,,Stat. and Math. Methods (MS-DS),,,,,,,,,Cloud Computing (MS-DS),,,,,,,,,,,,,,,,,,Internet of Things (MS),,,,,,,,,Applied Programming (MS-A),,,,,,,,,Applied Programming (MS-B),,,,,,,,,Advanced Software Engineering (MS-SPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,,Islamic & Religious Studies (CS-I),,,,,,,,,Artificial Intelligence (CS-A),,,,,,,,,Design & Analysis of Algorithms (CS-B),,,,,,,,,Artificial Intelligence (CS-B),,,,,,,,,Data Structures (CS-R),,,,,,,,,Design & Analysis of Algorithms (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,Calculus and Ana. Geometry (CS-C),,,,,,,,,Calculus and Ana. Geometry (CS-D),,,,,,,,,Data Warehousing & Data mining (CS),,,,,,,,,Theory of Automata (CS),,,,,,,,,Calculus and Ana. Geometry (CS-G),,,,,,,,,Differential Equations (Cal II) (CS-R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,,Computer Architecture (CS-A),,,,,,,,,Computer Architecture (CS-B),,,,,,,,,Data Structures (CS-C),,,,,,,,,Data Structures (CS-B),,,,,,,,,,,,,,,,,,Applied Physics  (CS-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,,Computer Architecture (CS-E),,,,,,,,,Data Structures (CS-A),,,,,,,,,Data Structures (CS-D),,,,,,,,,,,,,,,,,,Computer Networks (CS-C),,,,,,,,,Computer Networks (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,,Islamic & Religious Studies (CS-E),,,,,,,,,Programming Fundamentals (CS-E),,,,,,,,,Programming Fundamentals (CS-G),,,,,,,,,Programming Fundamentals (CS-B),,,,,,,,,,,,,,,,,,Finance and Accounting(CS-A),,,,,,,,,Finance and Accounting(CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,,Calculus and Ana. Geometry (CS-F),,,,,,,,,Programming Fundamentals (CS-F),,,,,,,,,Programming Fundamentals (CS-A),,,,,,,,,,,,,,,,,,Advanced Programming (CS-B),,,,,,,,,Linear Algebra (CS-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,,Comp. Org. & Assembly Lang. (CS-C),,,,,,,,,Comp. Org. & Assembly Lang. (CS-F),,,,,,,,,Information Retrieval (CS-B),,,,,,,,,,,,,,,,,,Information Retrieval (CS-A),,,,,,,,,Probability & Statistics (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,Object Oriented Programming (CS-A),,,,,,,,,Object Oriented Programming (CS-B),,,,,,,,,Object Oriented Analysis & Design (CS-A),,,,,,,,,,,,,,,,,,Object Oriented Analysis & Design (CS-B),,,,,,,,,Probability & Statistics (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,,Professional Issues in IT (CS-B),,,,,,,,,Digital Image Processing (CS),,,,,,,,,Design & Analysis of Algorithms (CS-C),,,,,,,,,Object Oriented Analysis & Design (CS-C),,,,,,,,,Object Oriented Analysis & Design (CS-D),,,,,,,,,Probability & Statistics (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,,Data Structures (CS-E),,,,,,,,,,,,,,,,,,Calculus and Ana. Geometry (CS-B),,,,,,,,,Object Oriented Analysis & Design (CS-E),,,,,,,,,Object Oriented Analysis & Design (CS-F),,,,,,,,,Probability & Statistics (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,Web Programming (CS-A),,,,,,,,,Software for Mobile Devices (CS-A),,,,,,,,,Programming Fundamentals (CS-L),,,,,,,,,Programming Fundamentals (CS-K),,,,,,,,,Linear Algebra (CS-E),,,,,,,,,Linear Algebra (CS-D),,,,,,,,,Entrepreneurship (CS-C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,,Fund. of Computer Vision(CS-B),,,,,,,,,Object Oriented Programming (CS-C),,,,,,,,,Fund. of Computer Vision (CS-A) ,,,,,,,,,,,,,,,,,,Discrete Structures (CS-D) ,,,,,,,,,Islamic & Religious Studies (CS-K),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,Discrete Structures (CS-F) ,,,,,,,,,Software Engineering (CS-E),,,,,,,,,Linear Algebra (CS-B),,,,,,,,,,,,,,,,,,Islamic & Religious Studies (CS-J),,,,,,,,,Islamic & Religious Studies (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,Advanced Programming (CS-A),,,,,,,,,,,,,,,,,,Linear Algebra (CS-G),,,,,,,,,,,,,,,,,,,,,,,,,,,Calculus and Ana. Geometry (CS-J),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,,,,,Research Methodology (MS),,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-C1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,,Calculus and Ana. Geometry (CS-L),,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-C2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,Islamic & Religious Studies (CS-H),,,,,,,,,Islamic & Religious Studies (CS-L),,,,,,,,,English Composition and Comprehension (CS-J1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-J2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,,,,,English Comp and Comp Lab (CS-A1),,,,,,,,,English Comp and Comp Lab (CS-B1),,,,,,,,,English Comp and Comp Lab (CS-F1),,,,,,,,,English Comp and Comp Lab (CS-G1),,,,,,,,,English Comp and Comp Lab (CS-K1),,,,,,,,,English Comp and Comp Lab (CS-E1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,,,,,English Comp and Comp Lab (CS-A2),,,,,,,,,English Comp and Comp Lab (CS-B2),,,,,,,,,English Comp and Comp Lab (CS-F2),,,,,,,,,English Comp and Comp Lab (CS-G2),,,,,,,,,English Comp and Comp Lab (CS-K2),,,,,,,,,English Comp and Comp Lab (CS-E2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,"Computer Networks Lab (CS-D1, CS-D2)",,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,"Database Systems Lab (CS-C1, CS-C2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,Intro. to Info & Comm. Technologies (CS-G),,,,,,,,,,,,,,,,,,"Comp. Org. & Assembly Lang.  Lab (CS-E1, CS-E2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,"Computer Networks Lab (CS-C1, CS-C2)",,,,,,,,,,,,,,,,,,"Object Oriented Programming Lab (CS-A1, CS-A2)",,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,,,,,,,,,,,,,,,,,,,"Data Structures  Lab (CS-A1, CS-A2)",,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),,,,,,,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-H),,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday,CS-1,,,,,,,,,,,,,,,,,,,,,,,Advanced Analysis of Algorithms (MS),,,,,,,,,,,,,,,,,,Natural Language Processing (MS-DS),,,,,,,,,,,,,,,,,,Software Process Management and Metrics (MS-SPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,,,,,,,,,,,Linear Algebra (CS-A),,,,,,,,,Linear Algebra (CS-C),,,,,,,,,,,,,,,,,,Evolutionary Computation (MS),,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design (CS-B) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,Research Project - I / II (MS-SPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,,,,,,,,,,,Software Engineering (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,,,,,,,,,,,English Composition and Comprehension (CS-I1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,,,,,,,,,,English Composition and Comprehension (CS-I2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,,Fund. of Computer Vision(CS-B),,,,,,,,,,,,,,,,,,Fund. of Computer Vision (CS-A) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,Calculus and Ana. Geometry (CS-K),,,,,,,,,,,,,,,,,,Applied Physics  (CS-J),,,,,,,,,,,,,,,,,,Applied Physics  (CS-E),,,,,,,,,Applied Physics  (CS-I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,,,,,Entrepreneurship (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,,,,,,,,,,,,,,,,,,,,,,,English Comp and Comp Lab (CS-K1),,,,,,,,,,,,,,,,,,,,,,,,,,,English Comp and Comp Lab (CS-E1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,,,,,,,,,,,,,,,,,,,,,,,English Comp and Comp Lab (CS-K2),,,,,,,,,,,,,,,,,,,,,,,,,,,English Comp and Comp Lab (CS-E2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,"Database Systems Lab (CS-A1, CS-A2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Warehousing & Data mining Lab (CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,,"Operating Systems Lab (CS-B1, CS-B2)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Object Oriented Analysis & Design Lab (CS-B1, CS-B2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,,,,,,,,,,"Operating Systems Lab (CS-C1, CS-C2)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Operating Systems Lab (CS-A1, CS-A2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,,,,,,,,,,"Object Oriented Programming Lab (CS-B1, CS-B2)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Structures  Lab (CS-C1, CS-C2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),,,,,,,,,,,,,,"Object Oriented Analysis & Design Lab (CS-A1, CS-A2)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Object Oriented Analysis & Design Lab (CS-E1, CS-E2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,Digital Logic Design Lab (CS-B1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-A1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-A2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2,0,0,89,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,84,0,1,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
