TIME TABLE FOR Fall 2019 SEMESTER [CS Department] <V1.3>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,Calculus and Ana. Geometry (CS-E),,,,,,,,,Software Engineering (CS-C),,,,,,,,,Software Engineering (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,Islamic & Religious Studies (CS-G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,,,,,,,,,,,Data Mining (MS),,,,,,,,,Software Engineering (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,Discrete Structures (CS-A) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,Calculus and Ana. Geometry (CS-H),,,,,,,,,Programming Fundamentals (CS-H),,,,,,,,,English Composition and Comprehension (CS-F1),,,,,,,,,,,,,,,,,,,,,,,,,,,Discrete Structures (CS-G) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,Discrete Structures (CS-B) ,,,,,,,,,Discrete Structures (CS-C) ,,,,,,,,,English Composition and Comprehension (CS-F2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,,,,,Entrepreneurship (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrepreneurship (CS-B),,,,,,,,,Discrete Structures (CS-H) ,,,,,,,,,Entrepreneurship (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,,Calculus and Ana. Geometry (CS-A),,,,,,,,,Islamic & Religious Studies (CS-A),,,,,,,,,English Composition and Comprehension (CS-A1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,Islamic & Religious Studies (CS-F),,,,,,,,,Islamic & Religious Studies (CS-C),,,,,,,,,English Composition and Comprehension (CS-A2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,,Applied Physics  (CS-B),,,,,,,,,Applied Physics  (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-B1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English Composition and Comprehension (CS-B2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied Physics  (CS-L),,,,,,,,,Applied Physics  (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,,,,,English Comp and Comp Lab (CS-C1),,,,,,,,,English Comp and Comp Lab (CS-D1),,,,,,,,,English Comp and Comp Lab (CS-H1),,,,,,,,,English Comp and Comp Lab (CS-I1),,,,,,,,,English Comp and Comp Lab (CS-J1),,,,,,,,,English Comp and Comp Lab (CS-L1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-II,,,,,English Comp and Comp Lab (CS-C2),,,,,,,,,English Comp and Comp Lab (CS-D2),,,,,,,,,English Comp and Comp Lab (CS-H2),,,,,,,,,English Comp and Comp Lab (CS-I2),,,,,,,,,English Comp and Comp Lab (CS-J2),,,,,,,,,English Comp and Comp Lab (CS-L2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,Programming Fundamentals Lab (CS-J),,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-B),,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,Programming Fundamentals Lab (CS-G),,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-L),,,,,,,,,,,,,,,,,,Intro. to Info & Comm. Technologies (CS-K),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,"Comp. Org. & Assembly Lang.  Lab (CS-F1, CS-F2)",,,,,,,,,,,,,,,,,,"Comp. Org. & Assembly Lang.  Lab (CS-D1, CS-D2)",,,,,,,,,,,,,,,,,,,,,,,,,,,"Computer Networks Lab (CS-A1, CS-A2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),,,,,"Computer Networks Lab (CS-E1, CS-E2)",,,,,,,,,,,,,,,,,,"Data Structures  Lab (CS-B1, CS-B2)",,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (CS-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-B1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tuesday,CS-1,,,,,Stat. and Math. Methods (MS-DS),,,,,,,,,Applied Image Processing (MS-DS),,,,,,,,,,,,,,,,,,Internet of Things (MS),,,,,,,,,Applied Programming (MS-A),,,,,,,,,Applied Programming (MS-B),,,,,,,,,Topics in Software Engineering (MS-SPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,,Islamic & Religious Studies (CS-I),,,,,,,,,Artificial Intelligence (CS-A),,,,,,,,,Design & Analysis of Algorithms (CS-B),,,,,,,,,Artificial Intelligence (CS-B),,,,,,,,,Data Structures (CS-R),,,,,,,,,Design & Analysis of Algorithms (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,Calculus and Ana. Geometry (CS-C),,,,,,,,,Calculus and Ana. Geometry (CS-D),,,,,,,,,Data Warehousing & Data mining (CS),,,,,,,,,Theory of Automata (CS),,,,,,,,,Calculus and Ana. Geometry (CS-G),,,,,,,,,Differential Equations (Cal II) (CS-R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,,Computer Architecture (CS-A),,,,,,,,,Computer Architecture (CS-B),,,,,,,,,Data Structures (CS-C),,,,,,,,,Data Structures (CS-B),,,,,,,,,,,,,,,,,,Applied Physics  (CS-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,,Computer Architecture (CS-E),,,,,,,,,Data Structures (CS-A),,,,,,,,,Data Structures (CS-D),,,,,,,,,,,,,,,,,,Computer Networks (CS-C),,,,,,,,,Computer Networks (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
